id,年份,岗位代码,地区,部门名称,职位,学历,专业,招考人数,报考人数,分数线,最高分
1,2017,30001,亳州,亳州市中级人民法院,法官助理,本科,法学类（不含特设专业）,4.0,77.0,77.0,74.0
2,2022,30002,亳州,亳州市中级人民法院,司法行政人员,本科,中国语言文学类（不含特设专业）、新闻传播学类（不含特设专业）,1.0,1.0,55.0,77.0
3,2015,30003,亳州,亳州市中级人民法院,司法行政人员,本科,不限,1.0,364.0,77.0,73.0
4,2019,30004,亳州,亳州市交通运输局,交通运输综合管理,本科,交通运输类、土木类,1.0,158.0,81.0,75.0
5,2016,30005,亳州,亳州市乡村振兴局,乡村振兴,本科,农业经济管理类、农业工程类、中国语言文学类、工商管理类、计算机类,2.0,189.0,60.0,80.0
6,2017,30006,亳州,亳州市所辖部分县公安局,人民警察,专科,研究生专业：公安学、公安技术一级学科下的各研究方向；本科专业：侦查学、治安学、交通管理工程、刑事科学技术、网络安全与执法、警务指挥与战术；专科专业：刑事侦查、治安管理、交通管理、刑事科学技术、信息网络安全监察、警察指挥与战术、特警专业,12.0,127.0,75.0,71.0
7,2014,30007,亳州,亳州市谯城区人民法院,法官助理,本科,法学类（不含特设专业）,1.0,1.0,53.0,64.0
8,2022,30008,亳州,亳州市谯城区人民检察院,检察官助理,本科,法学类（不含特设专业）,1.0,1.0,66.0,72.0
9,2013,30009,亳州,亳州市谯城区人民检察院,检察官助理,本科,法学类（不含特设专业）,3.0,18.0,53.0,74.0
10,2020,30010,亳州,亳州市谯城区政协办公室,综合文字,本科,中国语言文学类、新闻传播学类,2.0,48.0,64.0,73.0
11,2017,30011,亳州,中共亳州市谯城区委党校,综合文字,本科,马克思主义理论类、中国语言文学类,1.0,1.0,70.0,75.0
12,2013,30012,亳州,亳州市谯城区司法局,司法行政,本科,法学类（不含特设专业）,2.0,9.0,47.0,73.0
13,2013,30013,亳州,亳州市谯城区司法局,司法行政,本科,中国语言文学类,1.0,69.0,59.0,73.0
14,2022,30014,亳州,亳州市谯城区市场监督管理局,市场监管,本科,法学类（不含特设专业）,1.0,1.0,60.0,57.0
15,2014,30015,亳州,亳州市谯城区市场监督管理局,市场监管,本科,计算机类、电子信息类、电气类、机械类,1.0,215.0,78.0,70.0
16,2018,30016,亳州,亳州市谯城区市场监督管理局,市场监管,本科,经济学类、金融学类、工商管理类,2.0,38.0,62.0,77.0
17,2014,30017,亳州,亳州市谯城区市场监督管理局,市场监管,本科,食品科学与工程类、药学类、中药学类,2.0,109.0,64.0,67.0
18,2015,30018,亳州,亳州市谯城区农业农村局区农业综合开发服务中心,农业经济管理,本科,工程管理专业、工程造价专业、农业水利工程专业、农业工程专业,1.0,27.0,54.0,75.0
19,2019,30019,亳州,亳州市谯城区发改委区重点项目建设推进服务中心,项目服务,本科,经济学类、金融学类,1.0,44.0,90.0,75.0
