年份,岗位代码,地区,部门名称,职位,学历,专业,招考人数,报考人数,分数线,最高分,城市
2017,30001,亳州,亳州市中级人民法院,法官助理,本科,法学类（不含特设专业）,4,77,77,74,玲市
2022,30002,亳州,亳州市中级人民法院,司法行政人员,本科,中国语言文学类（不含特设专业）、新闻传播学类（不含特设专业）,1,1,55,77,上海县
2015,30003,亳州,亳州市中级人民法院,司法行政人员,本科,不限,1,364,77,73,潜江县
2019,30004,亳州,亳州市交通运输局,交通运输综合管理,本科,交通运输类、土木类,1,158,81,75,南京市
2016,30005,亳州,亳州市乡村振兴局,乡村振兴,本科,农业经济管理类、农业工程类、中国语言文学类、工商管理类、计算机类,2,189,60,80,佛山县
2017,30006,亳州,亳州市所辖部分县公安局,人民警察,专科,研究生专业：公安学、公安技术一级学科下的各研究方向；本科专业：侦查学、治安学、交通管理工程、刑事科学技术、网络安全与执法、警务指挥与战术；专科专业：刑事侦查、治安管理、交通管理、刑事科学技术、信息网络安全监察、警察指挥与战术、特警专业,12,127,75,71,香港市
2014,30007,亳州,亳州市谯城区人民法院,法官助理,本科,法学类（不含特设专业）,1,1,53,64,上海市
2022,30008,亳州,亳州市谯城区人民检察院,检察官助理,本科,法学类（不含特设专业）,1,1,66,72,西宁县
2013,30009,亳州,亳州市谯城区人民检察院,检察官助理,本科,法学类（不含特设专业）,3,18,53,74,西宁县
2020,30010,亳州,亳州市谯城区政协办公室,综合文字,本科,中国语言文学类、新闻传播学类,2,48,64,73,芳县
2017,30011,亳州,中共亳州市谯城区委党校,综合文字,本科,马克思主义理论类、中国语言文学类,1,1,70,75,兴安盟市
2013,30012,亳州,亳州市谯城区司法局,司法行政,本科,法学类（不含特设专业）,2,9,47,73,杰市
2013,30013,亳州,亳州市谯城区司法局,司法行政,本科,中国语言文学类,1,69,59,73,荣县
2022,30014,亳州,亳州市谯城区市场监督管理局,市场监管,本科,法学类（不含特设专业）,1,1,60,57,佛山县
2014,30015,亳州,亳州市谯城区市场监督管理局,市场监管,本科,计算机类、电子信息类、电气类、机械类,1,215,78,70,平市
2018,30016,亳州,亳州市谯城区市场监督管理局,市场监管,本科,经济学类、金融学类、工商管理类,2,38,62,77,斌市
2014,30017,亳州,亳州市谯城区市场监督管理局,市场监管,本科,食品科学与工程类、药学类、中药学类,2,109,64,67,畅县
2015,30018,亳州,亳州市谯城区农业农村局区农业综合开发服务中心,农业经济管理,本科,工程管理专业、工程造价专业、农业水利工程专业、农业工程专业,1,27,54,75,燕县
2019,30019,亳州,亳州市谯城区发改委区重点项目建设推进服务中心,项目服务,本科,经济学类、金融学类,1,44,90,75,斌市
2015,30020,亳州,亳州市谯城区商务局药业发展促进中心,工业经济管理,本科,药学类、中药学类、生物制药专业、制药工程专业,1,1,57,72,芳县
