id,年份,岗位代码,地区,部门名称,职位,学历,专业,招考人数,报考人数,分数线,最高分
1,2023,30001,亳州,亳州市中级人民法院,法官助理,本科,法学类（不含特设专业）,2.0,41.0,69.2,72.0
2,2023,30002,亳州,亳州市中级人民法院,司法行政人员,本科,中国语言文学类（不含特设专业）、新闻传播学类（不含特设专业）,1.0,58.0,70.6,73.5
3,2023,30003,亳州,亳州市中级人民法院,司法行政人员,本科,不限,1.0,353.0,72.9,73.75
4,2023,30004,亳州,亳州市交通运输局,交通运输综合管理,本科,交通运输类、土木类,2.0,185.0,70.4,76.0
5,2023,30005,亳州,亳州市乡村振兴局,乡村振兴,本科,农业经济管理类、农业工程类、中国语言文学类、工商管理类、计算机类,1.0,89.0,72.3,77.3
6,2023,30006,亳州,亳州市所辖部分县公安局,人民警察,专科,研究生专业：公安学、公安技术一级学科下的各研究方向；本科专业：侦查学、治安学、交通管理工程、刑事科学技术、网络安全与执法、警务指挥与战术；专科专业：刑事侦查、治安管理、交通管理、刑事科学技术、信息网络安全监察、警察指挥与战术、特警专业,9.0,51.0,61.52,71.37
7,2023,30007,亳州,亳州市谯城区人民法院,法官助理,本科,法学类（不含特设专业）,2.0,13.0,67.35,69.95
8,2023,30008,亳州,亳州市谯城区人民检察院,检察官助理,本科,法学类（不含特设专业）,1.0,10.0,67.35,71.6
9,2023,30009,亳州,亳州市谯城区人民检察院,检察官助理,本科,法学类（不含特设专业）,1.0,14.0,69.95,73.4
10,2023,30010,亳州,亳州市谯城区政协办公室,综合文字,本科,中国语言文学类、新闻传播学类,1.0,44.0,72.5,75.25
11,2023,30011,亳州,中共亳州市谯城区委党校,综合文字,本科,马克思主义理论类、中国语言文学类,2.0,42.0,70.85,80.7
12,2023,30012,亳州,亳州市谯城区司法局,司法行政,本科,法学类（不含特设专业）,1.0,27.0,66.86,68.58
13,2023,30013,亳州,亳州市谯城区司法局,司法行政,本科,中国语言文学类,1.0,18.0,67.15,70.3
14,2023,30014,亳州,亳州市谯城区市场监督管理局,市场监管,本科,法学类（不含特设专业）,1.0,34.0,59.34,60.81
15,2023,30015,亳州,亳州市谯城区市场监督管理局,市场监管,本科,计算机类、电子信息类、电气类、机械类,2.0,214.0,70.2,73.2
16,2023,30016,亳州,亳州市谯城区市场监督管理局,市场监管,本科,经济学类、金融学类、工商管理类,1.0,82.0,67.2,74.7
17,2023,30017,亳州,亳州市谯城区市场监督管理局,市场监管,本科,食品科学与工程类、药学类、中药学类,1.0,44.0,66.85,68.3
18,2023,30018,亳州,亳州市谯城区农业农村局区农业综合开发服务中心,农业经济管理,本科,工程管理专业、工程造价专业、农业水利工程专业、农业工程专业,1.0,42.0,70.05,74.85
19,2023,30019,亳州,亳州市谯城区发改委区重点项目建设推进服务中心,项目服务,本科,经济学类、金融学类,1.0,84.0,75.1,77.45
20,2023,30020,亳州,亳州市谯城区商务局药业发展促进中心,工业经济管理,本科,药学类、中药学类、生物制药专业、制药工程专业,1.0,48.0,69.35,70.6
21,2023,30021,亳州,亳州市谯城区乡镇机关,综合管理,本科,不限,8.0,109.0,65.85,75.2
22,2023,30022,亳州,亳州市谯城区乡镇机关,综合管理,专科,不限,8.0,1005.0,70.45,77.35
23,2023,30023,亳州,亳州市谯城区乡镇机关,综合管理,本科,中国语言文学类、新闻传播学类、法学类,5.0,83.0,65.75,72.0
24,2023,30024,亳州,亳州市谯城区乡镇机关,综合管理,本科,经济学类、金融学类、经济与贸易类、统计学类,5.0,102.0,68.4,73.95
25,2023,30025,亳州,亳州市谯城区乡镇机关,综合管理,本科,农业工程类、农业经济管理类、植物生产类,5.0,21.0,62.45,71.35
26,2023,30026,亳州,亳州市谯城区街道办事处,综合管理,本科,计算机类、电子信息类、中国语言文学类,3.0,152.0,69.2,73.35
27,2023,30027,亳州,亳州市谯城区乡镇机关,综合管理,本科,不限,1.0,90.0,71.65,73.05
28,2023,30028,亳州,谯城区乡镇机关,综合管理,本科,不限,1.0,6.0,61.05,62.65
29,2023,30029,亳州,涡阳县人大常委会机关,机关综合,本科,中国语言文学类、经济学类、法学类,1.0,21.0,71.55,77.25
30,2023,30030,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,1.0,8.0,62.9,65.08
31,2023,30031,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,2.0,18.0,62.21,68.85
32,2023,30032,亳州,中共涡阳县纪委监委机关,纪检监察,本科,法学类,2.0,14.0,61.27,73.89
33,2023,30033,亳州,涡阳县人民法院,法官助理,本科,法学类（不含特设专业）,2.0,4.0,63.05,68.5
34,2023,30034,亳州,涡阳县人民法院,司法行政人员,本科,图书情报与档案管理类,1.0,8.0,65.0,72.6
35,2023,30035,亳州,涡阳县人民法院,司法行政人员,本科,不限,1.0,1.0,51.86,60.65
36,2023,30036,亳州,涡阳县人民检察院,检察官助理,本科,法学类（不含特设专业）,3.0,12.0,69.0,77.75
37,2023,30037,亳州,涡阳县人民检察院,检察官助理,本科,法学类（不含特设专业）,1.0,13.0,68.65,68.65
38,2023,30038,亳州,涡阳县人民检察院,司法行政,本科,不限,1.0,11.0,65.7,75.05
39,2023,30039,亳州,涡阳县人民政府办公室,综合文字,本科,法学类（不含特设专业）、经济学类、汉语言文学专业、秘书学专业、新闻学专业、行政管理专业,1.0,15.0,67.65,70.35
40,2023,30040,亳州,涡阳县经济和信息化局,工业经济管理,本科,经济学门类,1.0,35.0,72.15,76.3
41,2023,30041,亳州,亳州市谯城区乡镇机关,综合管理,本科,不限,8.0,109.0,65.85,75.2
42,2023,30042,亳州,亳州市谯城区乡镇机关,综合管理,专科,不限,8.0,1005.0,70.45,77.35
